Assembly Center,Assembly Date,BoxA,BoxB,Qty Assembled,Vendor,,,Sum of Qty Assembled,Column Labels,,,,,,,,,,,,,,,,,,
Beohari,05-12-2015,1,1,40,,,,Row Labels,Beohari,Betul,Boriguma,Chotisarvan,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Mawai,Mohgaon,Multai,Nabrangpur,Narayanganj,Peint,Pipalkhoont,Surgana,Trimbak,Umerkote,Grand Total
Beohari,06-12-2015,5,5,200,,,,20-09-2015,,,,,,,,,,23,,,,,,,,,23
Beohari,07-12-2015,8,8,300,,,,04-11-2015,,,,,,,,,154,,,,,,,,,,154
Beohari,08-12-2015,8,8,330,,,,06-11-2015,,,,,,,,,240,240,,,,,,,,,480
Beohari,09-12-2015,9,9,350,,,,08-11-2015,,,,,,,,,154,,,,,,,,,,154
Beohari,11-12-2015,7,7,280,,,,09-11-2015,,,,,,,,,781,520,,,,,,,,,1301
Beohari,12-12-2015,1,1,40,,,,10-11-2015,,,,,,,,,800,,,,,,,,,,800
Beohari,15-12-2015,1,1,29,,,,14-11-2015,,,,,,,,,,200,,,,,,,,,200
Beohari,28-12-2015,5,5,200,,,,15-11-2015,,,,,,,,,,400,,,,,,,,,400
Beohari,29-12-2015,5,5,200,,,,16-11-2015,,,,,,,,40,,200,,,,,,,,,240
Beohari,30-12-2015,7,7,280,,,,19-11-2015,,,,,,,,,,,,,,,0,,,,0
Beohari,31-12-2015,6,6,240,,,,24-11-2015,,,,,,,,,,,0,,,78,,,,,78
Beohari,01-01-2016,6,6,240,,,,25-11-2015,,,,,,,,,,,0,,,,,,,,0
Beohari,02-01-2016,8,8,320,,,,27-11-2015,,,,,,,,,,,,0,,,,,,,0
Beohari,05-01-2016,1,1,25,,,,30-11-2015,,,,102,80,240,,,,,,,,,148,,,,570
Beohari,15-01-2016,0,0,280,S1,,,01-12-2015,,0,,264,435,399,,,,,,,,,376,,,,1474
Beohari,16-01-2016,7,7,260,S1,,,02-12-2015,,,,347,328,80,,,,,,,,200,,160,160,,1275
Beohari,17-01-2016,0,0,160,,,,03-12-2015,,0,,35,120,272,,,,57,0,,,390,424,160,427,,1885
Beohari,18-01-2016,0,0,100,,,,04-12-2015,,140,,,,,,,,,111,,,,,240,,,491
Beohari,19-01-2016,0,0,40,,,,05-12-2015,40,140,,,,,,278,,,153,,,,,,,,611
Betul,01-12-2015,0,0,0,,,,06-12-2015,200,,,,,,,240,,,,,,,,,,,440
Betul,03-12-2015,8,4,0,,,,07-12-2015,300,,,,30,,40,280,,,,,,,,,,,650
Betul,04-12-2015,0,0,140,,,,08-12-2015,330,20,,,,,80,240,,,272,,,,,,,,942
Betul,05-12-2015,6,3,140,,,,09-12-2015,350,,,,,,160,200,320,,,,198,,,,,,1228
Betul,08-12-2015,2,1,20,,,,10-12-2015,,247,,,,,280,200,320,280,,,280,,,,,,1607
Betul,10-12-2015,14,7,247,,,,11-12-2015,280,287,,,,,,160,320,,,280,360,,,,,,1687
Betul,11-12-2015,18,9,287,,,,12-12-2015,40,230,250,,,237,,,416,,,113,,,120,,,100,1506
Betul,12-12-2015,12,6,230,,,,13-12-2015,,,260,,,,,,,,,,,,,,,,260
Betul,14-12-2015,8,4,146,,,,14-12-2015,,146,410,160,280,240,,,,160,,,57,,278,,,220,1951
Betul,15-12-2015,26,13,516,,,,15-12-2015,29,516,440,186,219,360,,,,,,,,,90,,,240,2080
Betul,16-12-2015,24,12,441,,,,16-12-2015,,441,25,,320,280,400,,,200,600,535,,160,170,,400,240,3771
Betul,17-12-2015,14,7,260,,,,17-12-2015,,260,,198,200,120,520,,,240,600,20,,240,220,400,357,400,3775
Betul,18-12-2015,10,5,164,,,,18-12-2015,,164,,38,400,240,,,,200,765,20,,360,97,360,168,240,3052
Betul,21-12-2015,0,0,0,,,,19-12-2015,,,,267,226,280,,,,239,9,160,,280,,220,,340,2021
Betul,23-12-2015,16,8,298,,,,20-12-2015,,,,101,,,,,,,,,,,,,,200,301
Betul,24-12-2015,24,12,452,,,,21-12-2015,,0,,,,200,80,,,,,300,,279,,32,,200,1091
Betul,25-12-2015,26,13,489,,,,22-12-2015,,,,,,28,,,,,,,,400,,,,280,708
Betul,26-12-2015,26,13,481,,,,23-12-2015,,298,,,,,,,,,500,,,,,,,380,1178
Betul,28-12-2015,28,14,560,,,,24-12-2015,,452,,,,,,,,,618,,,360,,120,,360,1910
Betul,29-12-2015,28,14,560,,,,25-12-2015,,489,,,,,,,,,574,,,,,200,,480,1743
Betul,31-12-2015,36,18,720,,,,26-12-2015,,481,,,,,,,,,630,,,,,260,,460,1831
Betul,01-01-2016,38,19,760,,,,27-12-2015,,,,,,,,440,,,364,,,,,160,,180,1144
Betul,02-01-2016,38,19,760,,,,28-12-2015,200,560,,,,,,440,,,660,360,,360,,320,,20,2920
Betul,04-01-2016,34,17,680,,,,29-12-2015,200,560,,,,,,400,,,300,240,,280,,320,,0,2300
Betul,05-01-2016,40,20,768,,,,30-12-2015,280,,,,,,,278,,240,900,840,,320,,280,,0,3138
Betul,06-01-2016,44,22,880,,,,31-12-2015,240,720,,,,,,,,160,940,477,,360,,320,,,3217
Betul,08-01-2016,60,30,1192,,,,01-01-2016,240,760,,,,,,,360,160,640,,600,400,,440,,,3600
Betul,09-01-2016,62,31,1240,,,,02-01-2016,320,760,,,,,,,360,280,920,,400,,,400,,,3440
Betul,11-01-2016,64,32,1248,,,,03-01-2016,,,,,,,209,,360,,962,,,,,360,195,,2086
Betul,12-01-2016,70,35,1362,,,,04-01-2016,,680,,,,,251,,311,320,640,,320,360,,440,202,,3524
Betul,13-01-2016,66,33,1311,,,,05-01-2016,25,768,260,,,,99,,,200,680,,321,360,,280,240,,3233
Betul,14-01-2016,68,34,1360,S1,,,06-01-2016,,880,380,,,,414,,,,,,,360,,200,360,,2594
Betul,15-01-2016,64,32,1280,S1,,,07-01-2016,,,460,,,,185,,,,600,,277,360,,385,200,200,2667
Betul,16-01-2016,68,34,1360,S1,,,08-01-2016,,1192,460,,,,288,,,,1200,,,360,,295,320,440,4555
Betul,18-01-2016,54,27,1050,S1,,,09-01-2016,,1240,240,,,,,,,,1200,,,360,,360,400,479,4279
Betul,19-01-2016,0,0,0,S1,,,10-01-2016,,,,,,,,,,,1006,,,,,,,,1006
Boriguma,12-12-2015,7,7,250,,,,11-01-2016,,1248,,,,,325,,,,1080,,,280,,160,400,400,3893
Boriguma,13-12-2015,11,11,260,,,,12-01-2016,,1362,,,,399,392,,,,1200,,,360,100,360,480,760,5413
Boriguma,14-12-2015,11,11,410,,,,13-01-2016,,1311,420,,80,240,381,,,,1250,280,600,,280,400,131,600,5973
Boriguma,15-12-2015,11,11,440,,,,14-01-2016,,1360,400,,280,360,,,,,777,360,760,320,100,160,,600,5477
Boriguma,16-12-2015,0,0,25,,,,15-01-2016,280,1280,440,,280,240,,530,,,649,680,,280,220,,,,4879
Boriguma,05-01-2016,7,7,260,,,,16-01-2016,260,1360,440,,148,120,,510,,,,600,640,,320,,,,4398
Boriguma,06-01-2016,9,9,380,,,,17-01-2016,160,,,,,540,,,,,,120,,,280,,,,1100
Boriguma,07-01-2016,12,12,460,,,,18-01-2016,100,1050,,,,278,,,,,0,,520,440,250,,,,2638
Boriguma,08-01-2016,12,12,460,,,,19-01-2016,40,0,,,20,,,880,,,,,,,220,,,,1160
Boriguma,09-01-2016,11,11,240,,,,Grand Total,3914,21402,4885,1698,3446,5153,4104,5116,4896,4319,20800,5385,5333,8307,3693,7792,4440,7819,122502
Boriguma,13-01-2016,11,11,420,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,14-01-2016,10,10,400,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,15-01-2016,11,11,440,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,16-01-2016,11,11,440,S1,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,30-11-2015,5,5,102,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,01-12-2015,9,9,264,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,02-12-2015,10,10,347,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,03-12-2015,1,1,35,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,14-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,15-12-2015,5,5,186,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,17-12-2015,5,5,198,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,18-12-2015,1,1,38,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,19-12-2015,7,7,267,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,20-12-2015,3,3,101,,,,,,,,,,,,,,,,,,,,,,,
Garhi,30-11-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Garhi,01-12-2015,11,11,435,,,,,,,,,,,,,,,,,,,,,,,
Garhi,02-12-2015,9,9,328,,,,,,,,,,,,,,,,,,,,,,,
Garhi,03-12-2015,3,3,120,,,,,,,,,,,,,,,,,,,,,,,
Garhi,07-12-2015,1,1,30,,,,,,,,,,,,,,,,,,,,,,,
Garhi,14-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Garhi,15-12-2015,6,6,219,,,,,,,,,,,,,,,,,,,,,,,
Garhi,16-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Garhi,17-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Garhi,18-12-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-12-2015,6,6,226,,,,,,,,,,,,,,,,,,,,,,,
Garhi,13-01-2016,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Garhi,14-01-2016,7,7,280,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,15-01-2016,7,7,280,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,16-01-2016,4,4,148,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-01-2016,1,1,20,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,30-11-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,01-12-2015,10,10,399,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,02-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,03-12-2015,7,7,272,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,12-12-2015,6,6,237,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,14-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,15-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,17-12-2015,3,3,120,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,19-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,21-12-2015,6,6,200,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,22-12-2015,0,0,28,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,12-01-2016,10,10,399,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,13-01-2016,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,14-01-2016,10,10,360,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,15-01-2016,6,6,240,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-01-2016,3,3,120,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,17-01-2016,14,14,540,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-01-2016,6,6,278,G1,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-12-2015,2,2,40,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,09-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,10-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,16-12-2015,22,22,400,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,17-12-2015,3,3,520,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,21-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,03-01-2016,6,6,209,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,04-01-2016,7,7,251,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,05-01-2016,3,3,99,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,06-01-2016,11,11,414,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-01-2016,7,7,185,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-01-2016,9,9,288,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,11-01-2016,9,9,325,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,12-01-2016,10,10,392,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,13-01-2016,10,10,381,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-11-2015,1,1,40,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,05-12-2015,7,7,278,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,06-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,07-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,08-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,09-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,10-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,11-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,27-12-2015,11,11,440,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,28-12-2015,11,11,440,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,29-12-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,30-12-2015,7,7,278,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,15-01-2016,14,14,530,S1,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-01-2016,12,12,510,S1,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,19-01-2016,22,22,880,S1,,,,,,,,,,,,,,,,,,,,,,
Mawai,04-11-2015,4,4,154,,,,,,,,,,,,,,,,,,,,,,,
Mawai,06-11-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Mawai,08-11-2015,4,4,154,,,,,,,,,,,,,,,,,,,,,,,
Mawai,09-11-2015,20,20,781,,,,,,,,,,,,,,,,,,,,,,,
Mawai,10-11-2015,20,20,800,,,,,,,,,,,,,,,,,,,,,,,
Mawai,09-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,10-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,11-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,12-12-2015,11,11,416,,,,,,,,,,,,,,,,,,,,,,,
