Block Name,Date of Distribution,Qty Distributed,,,,Sum of Qty Distributed,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,30-12-2015,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,31-12-2015,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,23-12-2015,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,28-12-2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,31-12-2015,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,31-12-2015,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,31-12-2015,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,31-12-2016,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,13-01-2016,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,31-12-2015,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,13-01-2016,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,13-01-2016,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,13-01-2016,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,01-01-2016,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,30-12-2015,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,01-01-2016,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,13-01-2016,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,01-01-2016,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,01-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,01-01-2016,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,01-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,02-01-2016,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,02-01-2016,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,02-01-2016,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,28-12-2015,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,29-12-2015,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,30-12-2015,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,31-12-2015,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,01-01-2016,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,02-01-2016,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,17-12-2015,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,02-01-2016,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,02-01-2016,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,02-01-2016,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,22-12-2015,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,24-12-2015,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,31-12-2015,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,02-01-2016,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,14-12-2015,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,24-12-2015,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,30-12-2015,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,02-01-2016,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,13-01-2016,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,04-01-2016,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,01-01-2016,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,04-01-2016,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,04-01-2016,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,04-01-2016,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,05-01-2016,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,04-01-2016,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,05-01-2016,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,13-01-2016,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,13-01-2016,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,05-01-2016,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,05-01-2016,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,05-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,04-01-2016,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,05-01-2016,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,06-01-2016,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,06-01-2016,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,05-01-2016,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,13-01-2016,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,05-01-2016,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,06-01-2016,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,06-01-2016,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,06-01-2016,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,19-12-2015,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,19-12-2015,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,21-12-2015,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,21-12-2015,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,22-12-2015,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,22-12-2015,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,07-01-2016,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,07-01-2016,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,07-01-2016,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,07-01-2016,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,07-01-2016,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-01-2016,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,07-01-2016,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,08-01-2016,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-01-2016,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,08-01-2016,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,08-01-2016,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,07-01-2016,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,08-01-2016,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,08-01-2016,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,08-01-2016,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,08-01-2016,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,07-01-2016,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,08-01-2016,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,08-01-2016,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,09-01-2016,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,09-01-2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,09-01-2016,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,09-01-2016,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,09-01-2016,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,09-01-2016,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,09-01-2016,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,11-01-2016,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,11-01-2016,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,11-01-2016,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,11-01-2016,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,09-01-2016,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,07-01-2016,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,15-01-2016,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,11-01-2016,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,11-01-2016,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,11-01-2016,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,11-01-2016,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,11-01-2016,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,05-01-2016,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,06-01-2016,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,07-01-2016,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,08-01-2016,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,09-01-2016,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,07-01-2016,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,08-01-2016,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,09-01-2016,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,11-01-2016,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,12-01-2016,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,12-01-2016,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,12-01-2016,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,12-01-2016,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,12-01-2016,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,06-01-2016,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,06-01-2016,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,07-01-2016,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,07-01-2016,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,08-01-2016,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,08-01-2016,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,09-01-2016,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,11-01-2016,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,12-01-2016,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,12-01-2016,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,12-01-2016,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,04-01-2016,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,05-01-2016,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,06-01-2016,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,08-01-2016,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,09-01-2016,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,11-01-2016,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,12-01-2016,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,04-01-2016,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,05-01-2016,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,06-01-2016,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,08-01-2016,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,11-01-2016,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,12-01-2016,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,12-12-2015,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,31-12-2015,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,04-01-2016,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,05-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,06-01-2016,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,12-01-2016,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,14-01-2016,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,14-01-2016,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,15-01-2016,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,13-01-2016,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,14-01-2016,1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,23-12-2015,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,24-12-2015,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,25-12-2015,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,11-01-2016,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,14-01-2016,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,07-01-2016,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,09-01-2016,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,14-01-2016,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,15-01-2016,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,15-01-2016,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,15-01-2016,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,15-01-2016,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,15-01-2016,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,18-01-2016,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,13-01-2016,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,14-01-2016,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,16-01-2016,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,16-01-2016,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,16-01-2016,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,16-01-2016,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,16-01-2016,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,16-01-2016,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,05-01-2016,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-01-2016,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,15-01-2016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,13-01-2016,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,13-01-2016,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,13-01-2016,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,14-01-2016,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,14-01-2016,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,14-01-2016,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,16-01-2016,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,16-01-2016,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,18-12-2016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,21-12-2016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,21-12-2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,18-01-2016,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,18-01-2016,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,18-01-2016,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,18-01-2016,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,18-01-2016,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,18-01-2016,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-01-2016,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,18-01-2016,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,18-01-2016,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,18-01-2016,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,18-01-2016,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,19-01-2016,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,19-01-2016,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,19-01-2016,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,19-01-2016,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,19-01-2016,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,19-01-2016,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,19-01-2016,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,19-01-2016,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,19-01-2016,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,19-01-2016,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,19-01-2016,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-01-2016,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,18-01-2016,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,20-01-2016,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
